,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
4,Europe,Slovakia,Beverages,Offline,L,10/26/2016,174590194,12/4/2016,3973,47.45,31.79,188518.85,126301.67,62217.18
830,Europe,Slovakia,Meat,Offline,H,4/27/2013,565563571,5/13/2013,1684,421.89,364.69,710462.76,614137.96,96324.8
910,Europe,Slovakia,Office Supplies,Online,H,11/12/2014,640085208,1/1/2015,4292,651.21,524.96,2794993.32,2253128.32,541865.0
1050,Europe,Slovakia,Office Supplies,Online,H,5/11/2015,322365748,6/7/2015,4043,651.21,524.96,2632842.03,2122413.28,510428.75
1106,Europe,Slovakia,Meat,Offline,C,1/22/2012,496523082,2/5/2012,1069,421.89,364.69,451000.41,389853.61,61146.8
1121,Europe,Slovakia,Cereal,Offline,C,4/19/2015,310359323,4/28/2015,1075,205.7,117.11,221127.5,125893.25,95234.25
1533,Europe,Slovakia,Clothes,Offline,M,12/18/2014,715931642,1/31/2015,8937,109.28,35.84,976635.36,320302.08,656333.28
1586,Europe,Slovakia,Cereal,Online,H,12/21/2016,699316966,12/26/2016,2285,205.7,117.11,470024.5,267596.35,202428.15
1726,Europe,Slovakia,Vegetables,Offline,M,7/16/2011,469268405,7/20/2011,5804,154.06,90.93,894164.24,527757.72,366406.52
1882,Europe,Slovakia,Beverages,Online,M,5/2/2014,715593898,5/8/2014,8991,47.45,31.79,426622.95,285823.89,140799.06
2004,Europe,Slovakia,Household,Online,M,8/9/2012,671371352,9/2/2012,2557,668.27,502.54,1708766.39,1284994.78,423771.61
2578,Europe,Slovakia,Vegetables,Online,M,4/9/2010,768736827,5/9/2010,5165,154.06,90.93,795719.9,469653.45,326066.45
2737,Europe,Slovakia,Meat,Online,M,7/17/2016,941668069,8/11/2016,9362,421.89,364.69,3949734.18,3414227.78,535506.4
3099,Europe,Slovakia,Baby Food,Offline,L,4/14/2014,798204648,4/20/2014,5348,255.28,159.42,1365237.44,852578.16,512659.28
